	Co004LNPN_Co-004-LN_nasal_control-anterior	900242_Co-101-AN_nasal_control-anterior	Co005SNPN_Co-005-SN_nasal_control-anterior	900244_Co-102-LD_nasal_control-anterior	900138_Co-011-SF_nasal_control-anterior	900246_Co-103-MM_nasal_control-anterior	900140_Co-012-ON_nasal_control-anterior	900248_Co-104-IV_nasal_control-anterior	900250_Co-105-IV_nasal_control-anterior	900142_Co-013-AY_nasal_control-anterior	900252_Co-106-AB_nasal_control-anterior	900146_Co-014-TN_nasal_control-anterior	900254_Co-107-TG_nasal_control-anterior	900144_Co-015-OJ_nasal_control-anterior	900264_Co-108-OG_nasal_control-anterior	900541_Co-026-LT_nasal_control-anterior	900365_Co-138-AT_nasal_control-anterior	900543_Co-027-IS_nasal_control-anterior	900267_Co-109-AG_nasal_control-anterior	900545_Co-028-UV_nasal_control-anterior	900269_Co-110-SW_nasal_control-anterior	900547_Co-029-YL_nasal_control-anterior	900266_Co-111-AM_nasal_control-anterior	900549_Co-030-AL_nasal_control-anterior	900272_Co-112-SN_nasal_control-anterior	900280_Co-113-MM_nasal_control-anterior	900551_Co-031-LM_nasal_control-anterior	900284_Co-114-IG_nasal_control-anterior	900553_Co-032-AR_nasal_control-anterior	900282_Co-115-SG_nasal_control-anterior	900561_Co-033-LN_nasal_control-anterior	900286_Co-116-MR_nasal_control-anterior	900563_Co-034-AS_nasal_control-anterior	900288_Co-117-TG_nasal_control-anterior	900599_Co-036-OM_nasal_control-anterior	900290_Co-118-MG_nasal_control-anterior	900597_Co-037-LM_nasal_control-anterior	900292_Co-119-MG_nasal_control-anterior	900601_Co-038-AG_nasal_control-anterior	900312_Co-120-MM_nasal_control-anterior	900603_Co-039-KG_nasal_control-anterior	900607_Co-040-ST_nasal_control-anterior	900314_Co-121-MM_nasal_control-anterior	900605_Co-041-LC_nasal_control-anterior	900316_Co-122-IS_nasal_control-anterior	900609_Co-042-LN_nasal_control-anterior	900614_Co-043-ZS_nasal_control-anterior	900320_Co-124-UM_nasal_control-anterior	900351_Co-133-KT_nasal_control-anterior	900618_Co-044-KM_nasal_control-anterior	900322_Co-125-MM_nasal_control-anterior	900616_Co-045-OM_nasal_control-anterior	900324_Co-126-ID_nasal_control-anterior	900620_Co-046-KL_nasal_control-anterior	900326_Co-127-MB_nasal_control-anterior	900628_Co-047-LV_nasal_control-anterior	900328a_Co-128-IV_nasal_control-anterior	900632_Co-049-LJ_nasal_control-anterior	900345_Co-130-MM_nasal_control-anterior	900634_Co-050-AH_nasal_control-anterior	900347_Co-131-AM_nasal_control-anterior	900349_Co-132-IM_nasal_control-anterior	900361_Co-137-AM_nasal_control-anterior	900353_Co-134-KK_nasal_control-anterior	900375_Co-144-LM_nasal_control-anterior	900377_Co-145-HN_nasal_control-anterior	900357_Co-135-LT_nasal_control-anterior	900359_Co-136-SM_nasal_control-anterior	900363_Co-139-MP_nasal_control-anterior	900369_Co-141-IG_nasal_control-anterior	900371_Co-142-IP_nasal_control-anterior	900373_Co-143-AN_nasal_control-anterior	900481_Co-146-LK_nasal_control-anterior	900367_Co-140-IM_nasal_control-anterior	900381_Co-146-LK_nasal_control-anterior	900379_Co-147-SV_nasal_control-anterior	900383_Co-148-IM_nasal_control-anterior	900385_Co-149-LM_nasal_control-anterior	Co002MPPN_Co-002-MP_nasal_control-anterior	Co001SMPN_Co-001-SM_nasal_control-anterior	Co003LTPN_Co-003-LT_nasal_control-anterior	900318_Co-123-LZ_nasal_control-anterior	900387_Co-150-LN_nasal_control-anterior	900136_Co-016-CB_nasal_control-anterior	900389_Co-151-AN_nasal_control-anterior	900391_Co-152-AF_nasal_control-anterior	9003912_Co-152-AF_nasal_control-anterior	900393_Co-153-YM_nasal_control-anterior	9003932_Co-153-YM_nasal_control-anterior	Unknown
900283_Co-114-IG_skin_control-nonlesional	0	0	0	0	0.01566391205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003917039208	0	0	0	0	0	0	0.002459505411	0	0	0	0	0	0	0	0.1666666667	0	0	0	0	0	0	0	0.05594332513	0	0	0	0	0	0	0	0	0	0	0.387466387	0.001068815547	0	0	0.0503041364	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003466524037	0	0	0.0043927928	0.112533613	0	0	0	0	0	0	0	0	0	0	0.1992371544	0	0
900552_Co-032-AR_skin_control-nonlesional	0	0	0.0006943176968	0	0.0186921342	0	0.007482773293	0	0.001502210865	0	0	0	0	0.00462282557	0	0.007516400098	0	0.01890028693	0.001674377249	0.03567747969	0	0.007700074488	0	0.01717166802	0	0.020649516	0	0.001249614081	0	0.02873493222	0	0	0	0	0.001454631063	0.004632023536	0.0008624774722	0	0.01415758757	0.03011509827	0	0.002200006178	0	0.2131984483	0	0.008960978852	0.006828440365	0	0	0.0112986817	0	0	0	0	0	0.0432109067	0	0	0.003775626449	0.001121708388	0.003417553972	0	0.002208839172	0.02058300601	0.1666666667	0	0	0	0	0	0	0	0	0	0	0.136224718	0.0007585627345	0	0.001422187609	0	0.001622374983	0	0	0.007405538969	0.009463820786	0	0	0.1352405181	0.0009009877849	0
900281_Co-115-SG_skin_control-nonlesional	0	0	0	0	0.07375418459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006219627001	0	0	0	0	0	0	0.006141544715	0	0.004711270411	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1185395498	0	0	0	0	0	0	0	0	0	0	0.06071602464	0.01884231438	0	0	0.006598119252	0	0	0	0.001384608189	0	0	0	0	0	0	0	0	0	0	0.105878108	0	0.1597978095	0	0	0	0	0	0	0	0	0	0	0	0.1040109721	0	0.3334058674
900560_Co-033-LN_skin_control-nonlesional	5.79E-07	0	0	0	0.008822002275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01382941907	0	0	0	0	0	0	0	0	0	0	0	0.007926392348	8.59E-07	0	0	0	0	0	0	0.1666666667	0	0	0	5.33E-19	0.1528372476	0	0.4999985082	0	0	0	3.09E-19	0	5.35E-08	0	0	0	0	0	0	0	0	0	0	0.1498629963	0	0	0	0	0	0	0	0	0	0	0	5.53E-05	0	0
900285_Co-116-MR_skin_control-nonlesional	6.70E-07	1.66E-16	5.31E-07	0.0003300728818	0.6666650289	0.0004919624133	3.70E-17	1.19E-11	6.89E-09	2.88E-05	2.90E-07	0	7.00E-07	2.52E-05	0	6.86E-09	5.71E-09	0	3.50E-12	2.19E-09	4.45E-12	0	0.000494287939	1.67E-07	8.21E-07	2.56E-12	5.27E-07	2.88E-07	0	0	2.38E-09	5.09E-06	4.86E-10	3.07E-09	1.22E-11	0.0001650186465	3.49E-07	1.90E-07	1.25E-11	0	0.0003088714457	2.37E-05	4.11E-07	2.30E-06	1.39E-16	6.65E-17	0	0.3258593945	2.08E-05	1.22E-05	1.85E-16	0	2.21E-09	3.05E-06	0.004784149554	0	0	2.08E-07	1.62E-08	4.90E-07	1.43E-07	3.56E-07	3.90E-12	0	1.29E-09	1.24E-16	0.0005163871106	4.68E-07	0	8.33E-11	3.11E-09	7.54E-17	1.35E-17	7.53E-07	7.03E-12	9.70E-06	1.47E-16	9.17E-12	3.52E-12	0	1.84E-16	0.0002356167434	0	1.11E-11	8.13E-09	1.09E-05	1.98E-08	9.79E-10	1.71E-16	0
900562_Co-034-AS_skin_control-nonlesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0665751101	0	0	0.05059088088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04838491382	0	0	0	0	0	0	0	0	0	0	0	0	0.8344490952
900287_Co-117-TG_skin_control-nonlesional	8.92E-07	3.81E-09	1.86E-06	2.09E-10	0.01184291126	3.81E-09	0	1.58E-14	1.92E-05	0.003909405091	1.17E-06	0.0001215114908	0.0001136194033	0.003832285684	0	3.30E-07	6.12E-05	3.40E-09	0.002254745505	4.60E-10	8.33E-10	3.36E-15	0.00432262158	0.002608364983	2.23E-09	3.25E-09	0.0001122142047	1.63E-05	0	0	1.82E-14	0.004507281592	6.34E-07	0.003642274839	6.36E-14	0.001590003447	5.10E-07	0.03164556716	0	0	0.001155604737	3.40E-09	0.0006066865034	8.81E-05	0	6.93E-05	1.06E-13	4.28E-10	7.84E-06	0.0002166384117	1.81E-06	6.32E-10	6.25E-07	0.01811873892	0.0002151782467	0.006226942231	4.45E-09	0.0001416920659	4.25E-12	1.70E-06	1.37E-13	0	2.89E-09	0	1.81E-09	9.10E-05	0.01756765042	1.01E-13	0	6.75E-05	5.75E-07	1.02E-13	0.0004540069356	0.04657372366	4.02E-09	0.8164234369	1.32E-06	2.03E-07	4.28E-09	0	0	0.003683989387	4.52E-14	6.40E-15	7.62E-07	6.44E-06	1.62E-09	9.68E-08	0.01767346281	0
900598_Co-036-OM_skin_control-nonlesional	0	0	0	0	0.2139088434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02275291985	0	0.003659506036	0	0	0	0	0	0	0	0	0	0.01056730373	0	0	0.04574742918	0.1950971417	0	0	0	0	0	0	0	0	0	0	0	0.1001744712	0	0	0.02448943531	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00466637003	0	0	0.210867442	0	0	0	0	0	0	0	0	0	0	0	0.1680691375	0	0
900289_Co-118-MG_skin_control-nonlesional	0	0	0.003701299501	0.001521318284	0.02753116782	0	0	0.001772868309	0	0	0	0.0002480941026	0	0	0	0.0006748733423	0.0007681423853	0	0.001781049652	0	0.0001577651675	0	0.006301816677	0	0	0.001703948124	0.02797913199	0	0	0	0.001081087942	0	0.0001406183824	0.001118264508	0	0	0.0003111230819	0	0	0	0	0.001121063154	0	0.0005684620255	0	0	0	0.1666666667	0.001747991768	0	0.1256172503	0	0.02233827966	0	0.207716083	0.0003323505292	0	0	0.1909608907	0.001375010983	0	0.005859302567	0	0	0	0.006089602674	0	0.006184717254	0.009430703341	0.001534777054	0.00503770317	0.003151264336	0.002322752374	0	0	0.06908635339	0	0.01354094246	0.00664454324	0	0.004004656357	0.01210368856	0	0	0	0	0.02607848989	0.03331812232	0.0003757629665	0
900596_Co-037-LM_skin_control-nonlesional	0	0	0	0	0.3333144817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02227642479	0	0.0003899907212	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4054208159	0	0	0	0	0	0	0	0	0	0	0	0.01936651501	0	0	0.06235861817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05713688427	0	0	0	0	0	0	0	0	0	0	0	0.09973626943	0	0
900291_Co-119-MG_skin_control-nonlesional	0	0	0	0	0.0427731229	0	0.001143450457	0	0.0006730020467	0	0	0.0003521529365	0	0.0001308076004	0	0.0004461242455	0	0.01248505608	0.07147243952	0.01063118202	0.1657726709	0.05185175147	0	0.01569091214	0.1627548895	0.001559521563	0	0	0	0.003984266685	0.005526656021	0.00604956241	0	0	0.005621682729	0	5.38E-05	0	0.06037102976	0.05697958984	0	0.001030120242	0	0.0305114898	0	0.003863891851	0.02999308409	0	0	0.001608772096	0	0	0	0	0	0.008033574641	0	0	0.002309522534	0.02063130796	0.007216852053	0	0.04807338678	0.03350535262	0	0	0	0	0	0.001992110699	0	0	0	0	0	0.08342479509	0.00396246684	0	0	0	0	0	0	0.003367709667	0.002793057222	0	0	0.04110793151	0.0002509094646	0
900600_Co-038-AG_skin_control-nonlesional	0	0	0	0	0.0001607579303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003764043981	0	0	0	0	0	0	0.0002391564668	0	0	0	0	0	0	0	7.70E-06	0	0	0	0	0	0	0	0.003575437208	0	0	0	0	0	0	0	0	0	0	0	0.1983822028	0	0	0.007175929061	0	0	0	0	0	0.1666666667	0	0	0	0	0	0	0	0	0	0.1666666667	0.007943714799	0	0	0	0	0	0	0	0	0.06943378842	0	0	0.04267280368	0	0.3366987731
900311_Co-120-MM_skin_control-nonlesional	0	0	0	0	0.1655529809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01579164585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2158053715	0	0	0	0	0	0	0	0	0	0	0	0.09890283218	0	0	0.03627660756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3153853017	0	0	0	0	0	0	0	0	0	0	0	0.1522852603	0	0
900602_Co-039-KG_skin_control-nonlesional	5.21E-07	1.11E-09	0.000994765595	1.30E-09	0	0.001470183919	1.94E-10	1.80E-05	0.0100570667	0.002956779875	1.98E-10	0	0.004167497298	0.01379190181	0	8.78E-05	2.19E-05	0	9.35E-06	2.59E-05	1.21E-05	9.55E-07	0.08335816538	1.29E-06	8.38E-05	0	0.001186398425	1.39E-06	0	0	1.36E-06	0.000702849651	7.74E-05	0.00153863587	4.26E-07	0.05882815507	0.004003580364	0.002077856371	1.12E-06	0	0.0006393701584	5.48E-05	0.008326778454	0	0	7.85E-05	0	0	0.00721073372	0.007462507405	0.01395815816	1.99E-07	2.05E-05	0.06486020724	0.0001277890239	0	7.65E-10	0.00017576596	0	0.0004084644578	0.00610370486	0.1889856557	1.32E-09	0	0	0.0004328772559	0.0006919640684	9.21E-05	0	0.0008470310594	1.42E-09	5.37E-08	4.98E-10	3.34E-05	1.41E-06	0	4.39E-05	0.0001304002909	1.60E-06	0	8.71E-13	0.0005759014498	0	9.51E-05	0.01118921346	0.001764197754	3.19E-10	0	0.0002106873669	0.4999998009
900606_Co-040-ST_skin_control-nonlesional	0	0	0	0	0.283931524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01049226666	0	0	0	0	0	0	0.03815367569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1126431522	0	0	0	0	0	0	0	0	0	0	0	0.2394535359	0	0	0.05592972182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008999800465	0	0	0	0	0	0	0	0	0	0	0	0.2503963233	0	0
900313_Co-121-MM_skin_control-nonlesional	0	0	0	0	0.1382987474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006917846828	0	0	0	0	0.05773245937	0	0	0	0	0	0	0	0	0	0	0.0875426396	0	0	0	0	0	0	0	0.0505324923	0	0	0.058401715	0.1954994512	0	0	0.2806794737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02392275442	0	0.0006720122262	0	0	0	0	0	0	0	0	0	0	0	0.1060264701	0	0
900604_Co-041-LC_skin_control-nonlesional	0	0	0	0	0.1351296844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02431006474	0	0	0	0	0	0	0	0.1156109569	0	0	0	0	0	0	0	0.02471778192	0	0	0	0.2843890431	0	0	0	0	0	0	0	0.006216593597	0	0	0.001787670243	0	0	0	0	0	0.03228070779	0	0	0	0.1434092275	0	0	0	0	0	0	0.1603332654	0	0	0	0	0	0	0	0	0	0	0	0.07181500448	0	0
900315_Co-122-IS_skin_control-nonlesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003042906955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.996957093
900608_Co-042-LN_skin_control-nonlesional	0.2500044132	4.22E-45	8.04E-07	4.92E-12	0	1.99E-11	0	1.03E-18	2.29E-18	1.38E-18	1.49E-18	8.88E-19	0.06862159783	0.06398621029	0	3.43E-06	1.41E-28	1.69E-28	1.05E-45	2.36E-45	1.48E-44	3.66E-28	8.04E-13	2.14E-18	1.05E-07	1.80E-45	1.24E-28	2.58E-28	2.22E-45	2.43E-45	1.06E-18	1.72E-18	1.29E-07	1.98E-11	1.15E-44	2.93E-12	2.75E-13	3.46E-06	1.41E-11	0	5.93E-07	4.62E-45	4.12E-06	0	1.01E-44	4.43E-19	0	1.72E-18	2.45E-18	0.01739430226	2.60E-18	0	4.81E-28	0.03866847362	0.3333471151	2.08E-28	0	1.64E-11	0.1666666667	0	3.07E-08	2.48E-12	2.87E-18	0	8.59E-12	2.68E-06	0.06129074236	1.44E-18	0	2.69E-45	2.50E-28	3.38E-28	1.45E-44	3.72E-12	2.06E-19	3.07E-35	0	2.34E-19	2.17E-18	0	3.75E-12	2.29E-18	0	1.45E-11	4.06E-06	1.05E-06	2.39E-08	0	1.53E-11	0
900613_Co-043-ZS_skin_control-nonlesional	1.25E-07	0	0	0	0.04666671175	0	6.95E-09	0	0	0	0	0	0	0	0	2.44E-09	0	0.007791146621	8.71E-09	0.002407399078	4.62E-11	0.1184888885	0	0.0009056742541	0	0.0003684674651	0	5.20E-05	0	0.001138522507	2.74E-06	0	0	0	6.52E-09	0	0	0	5.46E-06	0.0133166512	0	2.19E-06	0	0.01042575314	0	4.66E-06	0.01781010596	0	0	1.13E-08	7.93E-09	0	0	0	0	3.68E-07	0	0	0.1038541666	0.0002487241434	0	0	0.0001559875863	0.001759054679	0	0	0	0	0.1666666667	1.01E-08	0	0	3.52E-10	0	0	0.0004675590872	4.68E-06	0	2.91E-06	0	1.28E-06	0	0	1.06E-09	1.09E-08	0	0	0.5074519892	0	0
900319_Co-124-UM_skin_control-nonlesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04511968176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01980349188	0	0	0	0.02856857925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9065082471
900350_Co-133-KT_skin_control-nonlesional	0	0	0.0007501260754	0	0.0627774075	0	0.003960621197	0	0.0002632295409	0	0	0	0	0.0001013963519	0	0	0	0.01159892792	0.0007750153892	0.01177514116	0	0.0001899619821	0	5.36E-05	0	0.0023254455	0	0.02450744756	0	0.05010810191	0.004176274604	0.0009587426906	0.0003787907296	0	0.004358664675	0.0007566100815	0	0	0.0006255822022	0.01673138989	0	0.0002227769265	0	0.2627222821	0	0.01535597942	0.005321742105	0	0	0.005419519629	0	0	0	0	0	0.0410057769	0.0007455323466	0	0.3201047009	0.003250535872	0.009644915984	0	0.002178615813	0.0008927818714	0	0	0	0	0	0.0008680794739	0	0	0	0	0	0.0872569595	0.002947155928	0	0	0	7.54E-05	0	0	0.000764336764	0.007235880897	0	0	0.03669635557	0.0001181943209	0
900617_Co-044-KM_skin_control-nonlesional	0	0	0	0	0.1305923922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4371819703	0	0	0	0	0	0	0	0	0	0	0	0.01933746585	0	0	0.03731969819	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007102824888	0	0	0.05605708033	0	0	0.01285222723	0	0	0	0	0	0	0	0	0.3059488834	0	0
900321_Co-125-MM_skin_control-nonlesional	6.95E-07	1.27E-06	9.52E-05	1.16E-13	0.0005810309329	0.001224489855	2.70E-14	0.00030781527	0.01950123006	1.07E-06	3.14E-09	3.70E-09	0.000132396798	0.003546434448	0	4.31E-05	0.0001451092409	4.64E-06	3.48E-05	7.39E-14	3.63E-07	1.18E-13	1.30E-06	9.10E-07	6.42E-05	1.39E-08	0.0001195582872	1.12E-13	0	0	1.69E-06	1.43E-06	0.1738460552	0.00289573993	2.55E-09	0.003358698167	5.64E-05	0.009195331869	0	9.62E-14	1.50E-05	0.0001377724599	3.74E-08	2.11E-13	0	0.0001351024664	0	4.41E-05	1.31E-06	1.14E-06	2.23E-09	0.02128023575	7.61E-05	0.04399494189	1.23E-06	0.001050972833	0	0.003105768347	0.5053161944	3.55E-14	1.01E-09	5.28E-05	1.52E-09	0	0	0	0.02581882457	1.42E-06	3.00E-12	3.18E-09	3.94E-05	1.07E-13	1.54E-14	0.001857628068	0.0001271360564	0.1429648582	7.22E-14	2.08E-14	1.31E-06	0	1.19E-07	9.30E-05	0	0	0.02172283883	1.09E-06	1.15E-06	0.01699734541	2.85E-07	0
900615_Co-045-OM_skin_control-nonlesional	0	0	0	0	0.01126371257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2034979392	0	0	0	0	0	0	0	0	0	0	0	0.02223143677	0	0	0.005486996697	0	0	0	0	0	0	0.09140421716	0	0	0	0	0	0.07526244951	0	0.1666666667	0	0.3936665198	0	0	0	0	0	0	0	0	0	0	0	0.0305200616	0	0
900323_Co-126-ID_skin_control-nonlesional	0	0	0	0	0.1189726673	0	0	0	0	0	0	0	0	0	0.2432977703	0	0	0	0	0	0	0	0	0	0	0	0	0.001284690096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1108138872	0	0	0	0	0	0	0	0	0	0	0	0.03643295046	0	0	0.006441288674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003011041451	0	0	0	0	0	0	0	0	0	0	0	0.0563768081	0	0.4233688964
900619_Co-046-KL_skin_control-nonlesional	0	0	0	0	0.1341155778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04699901684	0	0	0	0	0	0	0	0	0	0	0	0.0105387291	0	0	0.3125812664	0	0	0	0	0	0.3333333333	0	0	0	0	0	0	0	0	0.001738222661	0	0.01695015181	0	0	0	0	0	0	0	0	0	0	0	0.143743702	0	0
900325_Co-127-MB_skin_control-nonlesional	0	0	0	0	0.020043259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01023103119	0.006186705605	0	0	0	0	0	0	0	0	0	0	0	0.2875799071	0	0	5.15E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1666666667	0	0.0384626686	0	0	0	0	0	0	0	0	0	0	0	0.00503104621	0	0.4657471777
900627_Co-047-LV_skin_control-nonlesional	3.48E-07	2.60E-07	1.27E-11	2.23E-07	0	0	0.001329002336	0	0	0	1.77E-05	2.63E-12	0	4.34E-08	0.0002638112022	1.00E-11	0	2.38E-05	1.83E-07	0.002002173408	3.95E-11	0.001433390142	0	0.002035504224	0	3.52E-05	0	2.64E-11	0.005791923964	0.008090501912	4.37E-12	3.56E-11	0	0	4.63E-11	0	0	0	0.001518849055	0.2128036825	0	1.20E-07	0	1.05E-11	2.89E-07	1.69E-07	0.2437084759	1.16E-11	0	2.15E-07	0	0	0	0	0	0	0.02217259265	1.55E-11	0	2.37E-07	0	0	1.42E-12	0.195930739	4.95E-12	0	0	4.49E-11	2.21E-07	0	0	2.23E-11	2.46E-11	0	0	0	2.85E-08	1.26E-11	0	0.3027905171	0	0	1.65E-07	1.32E-11	9.96E-06	4.79E-11	0	0	3.96E-05	0
900327_Co-128-IV_skin_control-nonlesional	2.06E-07	3.29E-06	0.0001840847045	5.81E-05	0.474367582	0.0005624185443	0	0.001472296076	0.0001608412574	0.003613798055	5.88E-08	0.0008733685963	0.01265133073	0.0001449627657	0	0.02312375725	0.04575291487	1.59E-05	0.0004747432613	1.28E-09	2.59E-05	1.38E-09	0.0006519630269	0	1.00E-07	8.38E-06	0.0431402529	0	0	0	0.02861898097	5.56E-05	7.74E-05	0.008321276976	8.92E-06	1.33E-05	0.008657902535	4.69E-07	8.41E-06	0	0.0006770528339	0.000383090061	4.04E-05	0.02158482647	0	8.96E-06	0	9.59E-08	0.003893348001	3.20E-05	0.0007211080845	0	0.005126377802	0.0002417830288	0.0001138104033	5.68E-06	2.74E-09	0.0002725055018	2.30E-05	0.0002713891664	0.0007300798619	0.003821397205	9.05E-05	0	0	0.0119262871	0.001048282315	0.03730842159	0	0.006134808983	0.005132104641	0.0003692576113	1.49E-05	2.64E-07	0.2244657816	0	0	0.005282444102	0.008751478663	0	0.0004517543047	0.0002155388105	0	9.60E-05	1.31E-05	6.17E-05	0.007610137454	0	3.16E-05	0
900343_Co-129-IS_skin_control-nonlesional	2.32E-07	0	0	0	0.002004729549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90E-07	0	0	0	0.1666666667	0	0	0	0	0	0	0	0	0	0	0	0.001653347696	0	0	0	0	0	0	0	2.86E-06	0	2.02E-06	0	0.002138429899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09E-07	0	0	0.03038256378	0	0	0	0	0	0	0	0	0	0	0	0.1304870655	0	0.6666617873
