	Co004LNPN_Co-004-LN_nasal_control-anterior	900242_Co-101-AN_nasal_control-anterior	Co005SNPN_Co-005-SN_nasal_control-anterior	900244_Co-102-LD_nasal_control-anterior	900138_Co-011-SF_nasal_control-anterior	900246_Co-103-MM_nasal_control-anterior	900140_Co-012-ON_nasal_control-anterior	900248_Co-104-IV_nasal_control-anterior	900250_Co-105-IV_nasal_control-anterior	900142_Co-013-AY_nasal_control-anterior	900252_Co-106-AB_nasal_control-anterior	900146_Co-014-TN_nasal_control-anterior	900254_Co-107-TG_nasal_control-anterior	900144_Co-015-OJ_nasal_control-anterior	900264_Co-108-OG_nasal_control-anterior	900541_Co-026-LT_nasal_control-anterior	900365_Co-138-AT_nasal_control-anterior	900543_Co-027-IS_nasal_control-anterior	900267_Co-109-AG_nasal_control-anterior	900545_Co-028-UV_nasal_control-anterior	900269_Co-110-SW_nasal_control-anterior	900547_Co-029-YL_nasal_control-anterior	900266_Co-111-AM_nasal_control-anterior	900549_Co-030-AL_nasal_control-anterior	900272_Co-112-SN_nasal_control-anterior	900280_Co-113-MM_nasal_control-anterior	900551_Co-031-LM_nasal_control-anterior	900284_Co-114-IG_nasal_control-anterior	900553_Co-032-AR_nasal_control-anterior	900282_Co-115-SG_nasal_control-anterior	900561_Co-033-LN_nasal_control-anterior	900286_Co-116-MR_nasal_control-anterior	900563_Co-034-AS_nasal_control-anterior	900288_Co-117-TG_nasal_control-anterior	900599_Co-036-OM_nasal_control-anterior	900290_Co-118-MG_nasal_control-anterior	900597_Co-037-LM_nasal_control-anterior	900292_Co-119-MG_nasal_control-anterior	900601_Co-038-AG_nasal_control-anterior	900312_Co-120-MM_nasal_control-anterior	900603_Co-039-KG_nasal_control-anterior	900607_Co-040-ST_nasal_control-anterior	900314_Co-121-MM_nasal_control-anterior	900605_Co-041-LC_nasal_control-anterior	900316_Co-122-IS_nasal_control-anterior	900609_Co-042-LN_nasal_control-anterior	900614_Co-043-ZS_nasal_control-anterior	900320_Co-124-UM_nasal_control-anterior	900351_Co-133-KT_nasal_control-anterior	900618_Co-044-KM_nasal_control-anterior	900322_Co-125-MM_nasal_control-anterior	900616_Co-045-OM_nasal_control-anterior	900324_Co-126-ID_nasal_control-anterior	900620_Co-046-KL_nasal_control-anterior	900326_Co-127-MB_nasal_control-anterior	900628_Co-047-LV_nasal_control-anterior	900328a_Co-128-IV_nasal_control-anterior	900632_Co-049-LJ_nasal_control-anterior	900345_Co-130-MM_nasal_control-anterior	900634_Co-050-AH_nasal_control-anterior	900347_Co-131-AM_nasal_control-anterior	900349_Co-132-IM_nasal_control-anterior	900361_Co-137-AM_nasal_control-anterior	900353_Co-134-KK_nasal_control-anterior	900375_Co-144-LM_nasal_control-anterior	900377_Co-145-HN_nasal_control-anterior	900357_Co-135-LT_nasal_control-anterior	900359_Co-136-SM_nasal_control-anterior	900363_Co-139-MP_nasal_control-anterior	900369_Co-141-IG_nasal_control-anterior	900371_Co-142-IP_nasal_control-anterior	900373_Co-143-AN_nasal_control-anterior	900481_Co-146-LK_nasal_control-anterior	900367_Co-140-IM_nasal_control-anterior	900381_Co-146-LK_nasal_control-anterior	900379_Co-147-SV_nasal_control-anterior	900383_Co-148-IM_nasal_control-anterior	900385_Co-149-LM_nasal_control-anterior	Co002MPPN_Co-002-MP_nasal_control-anterior	Co001SMPN_Co-001-SM_nasal_control-anterior	Co003LTPN_Co-003-LT_nasal_control-anterior	900318_Co-123-LZ_nasal_control-anterior	900387_Co-150-LN_nasal_control-anterior	900136_Co-016-CB_nasal_control-anterior	900389_Co-151-AN_nasal_control-anterior	900391_Co-152-AF_nasal_control-anterior	9003912_Co-152-AF_nasal_control-anterior	900393_Co-153-YM_nasal_control-anterior	9003932_Co-153-YM_nasal_control-anterior	Unknown
900631_Co-049-LJ_skin_control-nonlesional	4.44E-07	0	6.51E-05	2.05E-05	0.0002617294861	0.0001441172684	0	2.09E-05	3.60E-07	0.0001933733653	0	7.46E-07	7.49E-05	0.0009835258665	0	7.58E-06	0.0004467151958	1.60E-07	1.44E-07	1.57E-05	2.65E-08	4.03E-05	0.0001080545914	1.18E-05	1.64E-08	5.24E-10	0.001372663517	4.35E-07	0	0	2.03E-05	0.0001638056804	0.03059664271	0.005066208478	3.72E-07	0.003208499518	1.66E-05	0.0001900926433	4.32E-07	0	0.0007059908493	0.0009235654384	0.006218547062	5.77E-05	0	2.30E-05	0	1.94E-05	0.005036214669	0.005318084347	2.40E-05	0	0.0002328604545	0.0001176983474	2.45E-05	0.5093968517	0	0.0008355778071	0.0003257407349	3.52E-09	2.99E-06	1.01E-05	2.62E-09	0	8.87E-11	0	0.002766570418	0.0002078487786	0	4.02E-09	0.002940580552	5.91E-07	1.41E-07	0.004755922786	3.48E-07	0.4001139846	2.13E-10	0.0002146102575	0.0002160269957	0	2.83E-09	0.0001281804312	0	2.19E-09	2.83E-06	0.00549485075	0.0005041345697	0.01021803478	0.0001303926151	0
900344_Co-130-MM_skin_control-nonlesional	1.87E-06	0.001062157201	0.0003841170811	0.1184609411	0	0.009503912985	4.40E-14	0.0008833828444	0.0403073868	0.0007232440128	0.001496850014	0.0002793980712	0.0002000200407	0.000153035863	0.001840375729	1.41E-06	0.0004908297788	7.33E-12	2.93E-06	2.63E-10	0.0006404215994	3.88E-15	0.06288772764	1.14E-14	5.51E-10	7.55E-10	0.08069708823	6.64E-14	0.0009139320305	5.85E-14	0.0001440454649	3.98E-07	0.0004783558977	0.06730999639	6.43E-15	0.0002263015942	0.03950099474	0.02944585224	2.12E-10	0	0.01724433927	2.08E-05	1.50E-10	0	9.39E-14	1.69E-07	0	0.05619561663	0.02639049882	4.46E-10	6.24E-10	8.53E-22	0.009161993674	9.66E-06	5.84E-15	3.13E-14	0.000808726641	0.02564803001	0	1.33E-22	0.006322234974	0.04204260362	4.68E-10	0	0	3.08E-06	0.02114862252	0.1030869775	3.73E-06	1.32E-14	0.03815919673	0.0006359883277	0.000256684663	0.02591065888	1.36E-07	0	1.77E-10	2.41E-06	6.30E-07	0.08190515852	0.0004428407509	0.04337872066	7.77E-06	8.68E-07	1.94E-12	0.00716695992	0.03600761701	0	3.14E-07	0
900633_Co-050-AH_skin_control-nonlesional	0	0	0	0	0.02474914408	0	0.003538358608	0	0	0	3.30E-06	0	0	0	0	0.003187595576	0	0.006637209008	0	0.002256558102	0	0.002516774132	0	0.01668847662	0	0.001363760478	0	0.0003274879169	0	0.001460785145	0.003574967359	0.0005226980958	0	0	5.78E-05	0.0004382299137	0	0	0.003763222558	0.02884745708	0.0001859150366	0.0007335426372	0	0.2142055255	0	0.0005392180662	0.02542209704	0	0	0	0	0	0	0	0.1666666667	0.0003881612608	0.0003219963173	0	0.1081502038	0.004558436935	3.69E-05	0	0.01167331866	0.00510191684	0	0	0	0	0	0	0	0	0	0	0	0.02525215065	0.0006561764507	0	0	0	0.002763689513	0	0	0.000960521432	0.0002092432481	0	0	0.1654895738	8.42E-05	0.1666666667
900346_Co-131-AM_skin_control-nonlesional	5.79E-07	2.04E-07	1.38E-14	0	0	0	0.01419247008	0	9.53E-15	0	7.71E-05	9.63E-15	0	0	0.03318245388	4.21E-15	0	0.014224309	1.02E-14	1.29E-06	0	0.05259800208	0	0.3347527022	0	0.0002138945808	0	0.0001607488811	5.92E-05	0.01048009313	1.99E-09	1.14E-14	0	0	0.009013113524	7.45E-15	0	5.50E-15	0.0001511695233	0.01390352143	6.34E-10	8.61E-07	0	2.67E-06	0.003435370281	8.51E-07	0.3465185178	6.08E-07	2.56E-15	4.61E-15	0	0	0	0	0	0	0.000568577179	8.61E-15	0	1.06E-10	0	7.12E-15	2.56E-07	0.05133823331	0	6.11E-15	0	0	0	1.63E-09	0	0.0001243947568	4.75E-10	0	0	0	6.07E-15	9.60E-15	0	0.1126359636	0	7.13E-15	0.002086686134	0.0002761841299	1.19E-14	6.87E-15	0	1.99E-15	0	0
900150_Co-016-CB_skin_control-nonlesional	0	0	0	0	0.2805474375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006839277039	0.003324202168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1456156244	0	0	0	0	0	0	0	0	0	0	0	0.05751424612	0	0	0.02453861566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4388523901	0	0	0	0	0	0	0	0	0	0	0	0.04276820703	0	0
900348_Co-132-IM_skin_control-nonlesional	0	0	0	0	0.05317465146	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2508892088	0	0.003392932535	0	0	0	0	0	0	0.001857820474	0	0.001067146822	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01188182941	0	0	0	0.08244412457	0	0	0	0	0	0	0	0.01411299067	0	0	0.1694294622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07287672395	0	0	0	0	0	0	0	0	0	0	0	0.3388731091	0	0
900360_Co-137-AM_skin_control-nonlesional	1.05E-06	0	0.0002738993244	1.90E-06	0	0.0003061761068	7.29E-06	0.003358449618	0.0004313301665	0.0009535750835	4.14E-15	0.0004610657121	0.0003705342661	0.0001353155422	0	5.80E-05	0.0003073766723	0.0001365435077	0.001186872954	9.08E-05	6.04E-07	4.41E-05	0.0008756967076	1.17E-05	8.88E-11	7.51E-05	0.0004506834691	4.56E-05	6.75E-15	4.82E-06	0.0003360060544	2.12E-05	3.34E-05	0.0002235255102	1.19E-05	0.2688592169	0.0004419037264	5.89E-06	6.83E-06	7.21E-05	4.15E-06	0.0001395342477	9.28E-06	7.05E-15	0	3.38E-05	9.06E-07	1.87E-06	0.001059525799	0.000121549847	3.32E-05	0	2.42E-05	2.78E-05	1.85E-08	6.72E-14	2.45E-12	8.09E-06	0	3.03E-05	7.24E-05	0.0001056048492	0.3974101138	3.62E-05	3.98E-11	2.51E-07	0.0001837985155	1.37E-05	0	0.0006875963697	5.71E-05	1.48E-07	6.27E-11	3.53E-15	1.71E-14	0	1.79E-11	0.3167388224	0.0004073177044	0	1.11E-05	0.0002493290979	0	0.0001072900677	0.0001182529489	1.02E-06	0.002705004719	0	9.46E-08	0
900352_Co-134-KK_skin_control-nonlesional	7.80E-08	0	0	0	0.0008285014755	0	0	5.36E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.96E-08	0	9.52E-08	0	1.43E-06	0	0	0	0	0	0	0	0	0	0	0	0.000252468231	0	0	0	0	0	0	0	0	0	0	0	0.03477059123	0	0	1.77E-05	0	0	0	0	1.37E-05	0	0	0	0	0	0	0	0	0	0	0	0.105748894	0	0	0	0	0	0	0	0	0	0	0	0.03295369682	0	0.8254122837
900390_Co-152-AF_skin_control-nonlesional	7.91E-07	7.96E-14	4.60E-05	1.13E-09	0	0.001444255141	0	7.75E-05	7.27E-05	0.03531106703	4.25E-14	1.07E-14	3.67E-05	1.05E-05	0	4.54E-05	7.48E-05	3.49E-14	8.12E-05	7.73E-10	2.89E-14	7.38E-08	0.00240739594	1.48E-14	4.90E-07	7.43E-14	6.99E-05	8.12E-14	0	5.12E-14	5.30E-14	0.001000924258	5.72E-07	8.09E-07	4.54E-10	0.02264282701	1.21E-07	0.00164175168	1.73E-14	0	0.001958811107	3.11E-12	8.39E-05	4.97E-14	0	1.85E-09	0	5.89E-14	0.03596754436	0.0008071984399	2.68E-05	0	0.00235705248	0.00808547023	2.49E-05	2.23E-09	0	0.03794444973	0	4.56E-14	3.03E-10	5.47E-07	3.24E-07	0.1666666667	2.24E-10	2.65E-09	0.01278780897	3.82E-05	0	0.0003240144333	0.0005614532006	2.46E-09	4.95E-14	2.33E-06	1.56E-09	0	9.04E-07	2.00E-05	1.27E-09	0	4.31E-07	6.02E-05	0	1.54E-14	3.90E-08	0.0006400419895	1.64E-05	0	2.23E-07	0.6666584504
900374_Co-144-LM_skin_control-nonlesional	2.28E-07	1.33E-05	0.02520375174	4.05E-08	0	0.003562982711	0	0.001744924421	0.0003574494954	0.0001722009976	1.60E-07	0.001949094002	0.009643987871	0.007417252185	0	0.01060296739	0.01285309334	0.002550329879	1.52E-07	6.22E-06	1.51E-05	1.67E-07	1.54E-05	1.54E-07	1.58E-05	1.30E-05	7.18E-05	1.56E-07	0	0	0.0001013609511	0.0006850502614	0.009430160628	0.001551462749	0.0003019435288	0.02566472128	1.36E-05	0.01569925821	0	7.12E-06	0.007326424097	5.73E-08	1.51E-05	0	6.60E-09	0.0001597219978	0	1.48E-05	0.009292340877	0.03744156782	0.002468672548	0	0.001071366695	0.01069561164	0.2633907268	0.2349237457	0	0.002321037314	0	0	0.0001942666115	1.31E-07	6.61E-05	0	1.56E-07	0.0001069020636	0.04813262755	0.0005070286934	0	0.0002947587709	1.87E-05	0	0.0003775325802	0.2157850764	1.21E-07	0	1.94E-05	9.83E-06	8.87E-06	0	1.12E-05	0.03052145028	0	0.000240763354	0.0003904151295	0.001385470316	0.0001419703362	0	0.003001889801	0
900376_Co-145-HN_skin_control-nonlesional	4.05E-07	1.78E-07	1.14E-05	0.0001040295382	0.04696739188	0.002043221903	1.14E-10	1.72E-07	0.02512961395	0.02680857633	2.50E-05	0.0001239197262	0.0001294111842	0.0003766902144	0	1.00E-10	3.98E-07	6.51E-11	3.50E-07	1.13E-10	1.59E-07	1.69E-10	0.001461207632	1.46E-05	1.31E-07	3.85E-06	1.47E-05	1.22E-06	0	0	4.67E-07	0.01291395396	7.23E-07	4.30E-11	3.37E-06	0.004188302759	2.08E-05	0.007462196851	2.80E-07	3.32E-07	0.001461286936	1.21E-06	0.0002188007133	0.2628394219	0	1.28E-10	0	7.44E-06	1.22E-05	5.13E-05	2.42E-10	1.33E-10	3.64E-06	0.02500375973	0.2014229895	0.0041739188	3.97E-07	6.40E-05	0.01174114371	1.55E-07	0.0004194984223	2.77E-07	1.05E-07	0	1.31E-05	3.50E-10	0.01937252025	6.68E-11	0	4.37E-06	2.51E-05	4.17E-07	2.12E-07	2.22E-05	3.12E-05	0.3228984617	0	3.16E-10	1.47E-05	0	2.36E-05	0.002374147106	0	3.82E-11	0.0002188066274	1.16E-10	1.87E-05	0.01973884146	1.49E-05	0
900356_Co-135-LT_skin_control-nonlesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09901123904	0	0.04873211368	0	0	0	0	0	0	0	0.008835054215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8434215931
900358_Co-136-SM_skin_control-nonlesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06581371617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1008529505	0	0	0	0	0	0	0	0	0	0	0.1666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6666666667
900370_Co-142-IP_skin_control-nonlesional	0	0	0	0	0.1140124666	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1346269695	0	0	0	0	0	0	0	0	0.002846401171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06608749888	0	0	0	0	0	0	0	0	0	0.1831422816	0	0.02216476616	0	0	0.001417319986	0	0	0	0	0	0.1666666667	0	0	0	0	0	0	0	0	0	0	0.009822478162	0	0	0	0	0	0	0	0	0	0	0	0.1169824024	0	0.1822307489
900372_Co-143-AN_skin_control-nonlesional	0	0	0	0	0.009154069421	0	0	0	0	0	0	0	0	0	0	0	0	0.02966569556	0	0	0	0	0	0	0	0	0	0.02024627407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1058351558	0	0	0	0	0	0	0	0.1550287476	0	0	0.154994542	0	0	0	0.001765471801	0	0	0	0.1258706387	0	0	0	0	0	0	0	0	0	0	0	0	0.2245982181	0	0	0	0	0.1728411869	0	0	0	0	0	0	0	0	0
900366_Co-140-IM_skin_control-nonlesional	5.58E-07	0	8.58E-06	0	0	0.006003737761	2.39E-10	0.01318778801	0.002321144572	0.001540811737	0	3.83E-07	0.003545101945	0.004314716523	0	2.49E-07	0.0001685108967	1.71E-07	2.36E-07	8.26E-07	2.16E-07	0	0.002918990875	1.24E-07	3.57E-07	0	0.0002771994292	2.10E-10	0	8.11E-11	2.13E-05	0.002122189344	0.000449764675	0.003432829999	1.23E-10	0.02220279987	2.77E-07	0.001467225637	1.87E-07	0	1.80E-05	9.09E-06	0.009616601434	0	0	0.0008997453584	0	0	1.37E-05	3.44E-07	3.35E-06	0.0001118334046	9.43E-08	0.009668333374	0.6746986015	0	2.01E-10	0.01480662909	0	2.62E-10	0.0001765342895	6.95E-06	4.02E-07	0	1.85E-05	1.87E-10	0.01714619051	3.93E-10	0	0.0002632489599	1.06E-08	6.16E-11	0.001249956877	3.26E-05	0.2006846857	0	0	1.21E-05	0.001681188869	0	0	4.18E-06	3.16E-10	4.41E-10	0.000359381856	0.002468761444	0.001702061574	0	0.0003606442952	0
900380_Co-146-LK_skin_control-nonlesional	0	0	0	0	0.2005222305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01131537012	0	0	0	0	0	0	0	0	0	0	0	0.1742588138	0	0	0.06490556103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03948949023	0	0.3773920343	0	0	0	0	0	0	0	0	0	0	0	0.1321165001	0	0
900378_Co-147-SV_skin_control-nonlesional	1.04E-06	6.37E-13	2.17E-12	9.28E-13	0	0.0001183293918	3.87E-18	1.67E-09	1.22E-06	4.53E-18	1.49E-12	3.07E-12	0.0002072755431	5.28E-05	0	4.75E-07	1.86E-12	6.14E-18	0.1955139894	2.87E-12	2.10E-12	2.81E-09	1.75E-12	5.24E-09	1.25E-06	6.00E-18	0.0001130266339	1.94E-07	0	0	2.77E-12	1.62E-06	3.30E-05	5.76E-09	4.96E-18	4.27E-07	5.28E-18	0.002290928504	2.34E-12	0	1.72E-09	1.91E-09	0.0001178889926	0	5.02E-14	3.23E-12	0	3.12E-19	9.98E-05	2.30E-05	1.33E-12	0	2.83E-09	0.002503156013	0.2948261062	6.32E-18	5.32E-18	0.000116604384	0	6.99E-20	3.70E-13	8.50E-13	5.28E-18	0	2.03E-12	3.85E-19	0.002310992064	2.89E-12	0	4.39E-09	9.16E-13	3.46E-12	1.70E-18	1.45E-12	2.30E-09	0	1.86E-19	0.001574823238	4.80E-09	0	4.26E-18	1.80E-06	0	0	6.99E-09	3.08E-12	4.12E-05	0	4.90E-05	0.5
900382_Co-148-IM_skin_control-nonlesional	0	0	0	0	0.07074793893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01372809357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007385425041	0.1219705591	0	0	0	0	0	0	0	0	0	0	0	0.05522391486	0	0	0.05090665011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5796595498	0	0	0	0	0	0	0	0	0	0	0	0.1003778686	0	0
900384_Co-149-LM_skin_control-nonlesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009288990417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1351284047	0	0	0	0	0	0.005657943816	0	0	0	0.01922670903	0	0	0	0	0.005724710077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8333333333
Co001SMNL_Co-001-SM_skin_control-nonlesional	0	0	0	0	0.1716629816	0	0	0	0	0	0	0	0	0	0	0	0	0.002532904833	0	0	0	0	0	0	0	0	0	0.008766227527	0	0	0	0	0	0	0	0	0	0	0	0	0.004001762999	0	0.006788969235	0.3070864598	0	0	0	0	0	0	0	0	0	0	0	0.05292372364	0	0	0.1191220991	0	0	0	0.00659410414	0	0	0	0	0	0	0	0	0	0	0	0	0.2421311789	0	0	0	0	0	0	0	0	0	0	0	0.07838958823	0	0
Co003LTNL_Co-003-LT_skin_control-nonlesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137531963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1998388239	0	0	0	0.1626292131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
Co002MPNL_Co-002-MP_skin_control-nonlesional	1.96E-06	1.53E-14	1.68E-14	2.25E-07	0.02902014298	2.88E-07	0	0.03737710549	9.36E-10	1.62E-06	4.27E-16	2.37E-14	8.20E-10	1.79E-06	0	1.42E-09	2.98E-22	8.63E-22	1.22E-21	4.23E-14	1.60E-21	4.13E-10	8.08E-15	3.70E-10	1.09E-09	0	1.56E-06	4.80E-14	0	0	1.94E-14	0.01835142439	1.18E-21	0.0003739119107	7.09E-10	0.0393565252	2.17E-14	0.04406710892	1.17E-21	0	0.0003647983715	1.87E-06	0.02896441791	0.3778661075	0	2.49E-15	0	4.25E-10	0.0002703741569	1.15E-06	1.17E-21	0	6.78E-10	0.02979328939	1.36E-21	0.3847042352	0	4.87E-08	4.56E-20	6.54E-11	6.57E-07	4.25E-07	6.53E-22	0	1.63E-22	4.89E-14	0.0002896936432	1.06E-11	0	1.04E-10	3.92E-22	1.75E-21	2.66E-22	8.73E-07	8.29E-10	0.003994329756	2.59E-14	1.05E-21	7.67E-11	0	3.78E-22	0.0004891142237	0	0	3.97E-15	0.0002872581331	9.54E-07	0.004415184555	1.55E-06	0
900386_Co-150-LN_skin_control-nonlesional	0	0	0	0	0.2034793181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01548062027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03295495885	0	0	0	0	0	0	0	0	0	0	0	0.04553213551	0	0	0.1786743524	0	0	0	0	0.01825438808	0.05726321539	0	0	0	0	0	0	0	0.005752403319	0	0	0.1831719134	0	0	0	0	0	0	0	0	0	0	0	0.092770028	0	0.1666666667
900317_Co-123-LZ_skin_control-nonlesional	0	0	0	0	0.1440862111	0	0.0189274704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1847624178	0	0	0	0	0	0	0	0	0	0	0	0.1442552009	0	0	0.02035067145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2589653697	0	0	0	0	0	0	0	0	0	0	0	0.2286526587	0	0
900388_Co-151-AN_skin_control-nonlesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04542683026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1073908799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01384895655	0	0	0	0	0	0	0.01979756214	0	0	0	0	0	0	0.8135357712
900135_Co-016-CB_skin_control-nonlesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1290835545	0	0	0	0	0	0	0	0.13910318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0275634867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7042497789
900392_Co-153-YM_skin_control-nonlesional	0	0	0	0	0.06334529413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6762448566	0	0	0	0	0	0	0	0	0	0	0	0.000745094008	0	0	0.06866314602	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001683703948	0	0	0.03763663483	0	0	0	0	0	0	0	0	0	0	0	0.1516812705	0	0
9003922_Co-153-YM_skin_control-nonlesional	1.00E-06	1.46E-08	0.003485260295	5.48E-10	0	0.0003269051508	0	0.00216393825	3.35E-05	0.03073984001	9.81E-13	4.47E-09	0.01467152112	0.05359017083	1.12E-12	0.0002975618594	1.32E-06	4.15E-14	1.23E-06	0	1.50E-08	1.21E-08	5.44E-06	3.10E-06	1.76E-06	3.23E-13	1.09E-08	1.46E-08	8.65E-09	0	2.11E-06	0.0001427792537	1.85E-05	3.57E-06	0.0001981109942	0.06407468983	0.007292235495	0.09345254284	9.21E-13	0	0.004875417868	0.007277498862	5.91E-05	0	0	0.0002082812085	0	2.01E-08	0.000140676251	6.54E-06	0.0002843534479	0	6.69E-09	0.01088259039	6.95E-09	1.19E-08	5.00E-09	0.0003190812799	0	1.90E-08	7.07E-13	3.36E-06	9.92E-13	0	4.95E-06	7.74E-13	0.03217630624	4.06E-06	0	4.26E-06	0.0002785233667	1.85E-08	0	4.83E-12	6.62E-13	0	2.75E-13	3.81E-07	1.89E-06	0	5.74E-06	0.006111907273	0	0.0001801762603	1.70E-08	3.02E-07	1.99E-08	0	5.19E-07	0.6666666667